Source;Target;Weight;Type
72;106;1;undirected
2;32;11;undirected
72;275;1;undirected
60;289;2;undirected
61;88;1;undirected
24;118;3;undirected
149;291;6;undirected
31;266;1;undirected
17;18;14;undirected
101;343;7;undirected
0;207;4;undirected
0;275;3;undirected
101;114;10;undirected
75;195;2;undirected
15;106;1;undirected
20;103;2;undirected
101;288;5;undirected
18;51;1;undirected
83;343;7;undirected
15;16;16;undirected
46;124;1;undirected
87;119;1;undirected
20;60;1;undirected
73;101;1;undirected
38;272;1;undirected
78;272;2;undirected
38;125;1;undirected
21;27;10;undirected
15;85;12;undirected
111;271;10;undirected
2;287;1;undirected
264;307;1;undirected
121;347;1;undirected
261;273;2;undirected
2;79;1;undirected
105;254;1;undirected
17;271;1;undirected
15;271;5;undirected
2;272;1;undirected
56;102;2;undirected
78;121;2;undirected
2;66;1;undirected
0;18;1;undirected
33;100;2;undirected
111;356;1;undirected
56;195;5;undirected
96;256;1;undirected
16;85;2;undirected
13;19;3;undirected
41;83;3;undirected
33;94;16;undirected
46;72;1;undirected
71;73;1;undirected
96;270;1;undirected
3;43;2;undirected
6;20;1;undirected
36;76;3;undirected
280;343;1;undirected
0;68;8;undirected
34;280;1;undirected
61;68;3;undirected
3;49;2;undirected
0;261;2;undirected
88;266;3;undirected
226;240;1;undirected
15;276;5;undirected
99;125;1;undirected
40;74;1;undirected
12;51;2;undirected
17;56;14;undirected
238;288;1;undirected
20;83;53;undirected
55;70;1;undirected
54;96;1;undirected
34;250;1;undirected
85;238;2;undirected
74;111;2;undirected
31;102;1;undirected
34;115;1;undirected
0;15;1;undirected
46;83;1;undirected
12;103;1;undirected
15;42;1;undirected
36;109;6;undirected
29;101;3;undirected
20;40;1;undirected
60;71;1;undirected
87;89;5;undirected
13;119;1;undirected
34;275;1;undirected
20;22;1;undirected
32;271;2;undirected
15;102;2;undirected
49;119;2;undirected
20;288;3;undirected
41;42;1;undirected
21;293;2;undirected
51;65;1;undirected
15;111;6;undirected
20;270;1;undirected
51;103;5;undirected
17;75;3;undirected
102;112;4;undirected
0;6;1;undirected
9;100;1;undirected
67;92;1;undirected
85;88;2;undirected
0;60;1;undirected
98;112;2;undirected
41;283;1;undirected
41;238;1;undirected
1;57;5;undirected
23;74;1;undirected
43;105;1;undirected
38;287;2;undirected
12;70;1;undirected
78;271;4;undirected
95;121;1;undirected
15;78;19;undirected
34;260;1;undirected
15;282;1;undirected
6;270;4;undirected
85;271;1;undirected
89;118;1;undirected
17;35;7;undirected
109;284;3;undirected
223;276;1;undirected
32;125;1;undirected
9;109;1;undirected
68;343;2;undirected
17;102;2;undirected
42;101;1;undirected
51;56;1;undirected
16;282;1;undirected
0;41;1;undirected
61;114;1;undirected
34;293;1;undirected
100;304;1;undirected
102;238;1;undirected
0;79;2;undirected
79;102;6;undirected
85;264;3;undirected
29;343;1;undirected
0;101;1;undirected
86;200;2;undirected
78;85;1;undirected
40;273;45;undirected
271;366;1;undirected
6;79;1;undirected
68;271;4;undirected
60;356;1;undirected
89;254;1;undirected
266;273;45;undirected
0;20;1;undirected
33;122;1;undirected
6;97;2;undirected
19;366;18;undirected
43;65;1;undirected
42;97;1;undirected
78;238;1;undirected
83;106;1;undirected
43;103;1;undirected
0;32;1;undirected
68;101;5;undirected
32;38;23;undirected
238;271;1;undirected
288;297;1;undirected
2;68;1;undirected
104;264;3;undirected
71;276;1;undirected
20;119;1;undirected
18;35;6;undirected
19;262;3;undirected
67;111;6;undirected
1;260;1;undirected
76;82;7;undirected
42;78;1;undirected
12;87;3;undirected
17;207;1;undirected
32;97;1;undirected
83;95;2;undirected
11;264;1;undirected
36;111;8;undirected
41;111;1;undirected
84;97;1;undirected
35;75;4;undirected
271;289;2;undirected
43;256;2;undirected
20;42;1;undirected
18;102;2;undirected
68;280;16;undirected
83;288;7;undirected
23;283;1;undirected
26;38;1;undirected
32;61;1;undirected
95;223;1;undirected
114;288;1;undirected
95;114;2;undirected
88;111;1;undirected
100;240;1;undirected
19;271;1;undirected
88;264;1;undirected
20;264;1;undirected
101;289;2;undirected
70;265;2;undirected
27;99;1;undirected
83;126;1;undirected
10;260;1;undirected
276;282;2;undirected
1;99;15;undirected
8;100;1;undirected
65;119;1;undirected
260;293;1;undirected
42;83;1;undirected
12;24;1;undirected
15;61;1;undirected
114;280;1;undirected
35;112;2;undirected
32;94;1;undirected
24;43;1;undirected
12;118;1;undirected
66;103;2;undirected
83;297;2;undirected
271;343;3;undirected
0;84;1;undirected
62;66;1;undirected
114;347;1;undirected
101;237;2;undirected
73;74;1;undirected
83;271;8;undirected
100;284;18;undirected
49;118;2;undirected
32;42;1;undirected
13;72;2;undirected
87;91;1;undirected
8;273;1;undirected
32;111;1;undirected
68;228;1;undirected
5;307;5;undirected
20;73;1;undirected
0;31;1;undirected
10;250;1;undirected
46;99;1;undirected
12;49;5;undirected
34;228;1;undirected
111;282;1;undirected
121;125;1;undirected
85;111;2;undirected
5;112;2;undirected
31;366;1;undirected
11;284;1;undirected
68;238;3;undirected
43;96;1;undirected
41;112;1;undirected
13;103;1;undirected
5;26;1;undirected
32;287;2;undirected
78;276;2;undirected
61;228;3;undirected
68;276;1;undirected
83;276;7;undirected
5;264;1;undirected
85;288;1;undirected
73;85;2;undirected
31;261;1;undirected
49;65;1;undirected
41;60;1;undirected
20;106;1;undirected
40;275;6;undirected
9;11;7;undirected
78;288;3;undirected
42;343;2;undirected
51;119;10;undirected
15;101;10;undirected
78;125;2;undirected
0;22;1;undirected
83;114;3;undirected
5;95;2;undirected
6;103;1;undirected
43;67;1;undirected
83;88;1;undirected
19;207;4;undirected
16;111;3;undirected
15;41;3;undirected
43;89;7;undirected
0;34;7;undirected
12;66;1;undirected
60;68;4;undirected
49;96;1;undirected
0;88;1;undirected
95;347;6;undirected
28;271;2;undirected
71;240;1;undirected
5;283;2;undirected
15;68;7;undirected
106;125;1;undirected
125;347;1;undirected
6;272;2;undirected
19;264;3;undirected
114;343;3;undirected
49;256;2;undirected
49;87;13;undirected
49;54;1;undirected
3;254;6;undirected
79;100;1;undirected
38;300;1;undirected
41;88;1;undirected
5;98;1;undirected
60;101;13;undirected
20;343;5;undirected
95;307;2;undirected
93;276;1;undirected
71;88;1;undirected
23;73;1;undirected
16;288;1;undirected
94;112;2;undirected
60;288;1;undirected
111;264;1;undirected
21;140;4;undirected
102;240;1;undirected
68;288;17;undirected
83;264;1;undirected
31;39;1;undirected
29;83;1;undirected
76;109;1;undirected
15;125;1;undirected
31;273;1;undirected
20;266;1;undirected
1;275;1;undirected
20;102;3;undirected
0;228;1;undirected
271;356;2;undirected
41;78;1;undirected
0;264;11;undirected
17;79;2;undirected
71;271;1;undirected
83;102;3;undirected
21;72;1;undirected
36;144;2;undirected
43;87;13;undirected
102;280;1;undirected
20;51;1;undirected
68;85;13;undirected
146;168;4;undirected
93;101;1;undirected
280;288;12;undirected
73;102;1;undirected
